[curric] D2 excision: 165028 -> 164896 rows
[caf] mode=hybrid k_bp=4 seed=23 cell=qual_hybrid_k4_s23_S1_lr0.0001: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[caf] stream digests verified stock e0..e2
[caf] steps_total 15420 (5140/epoch) peak lr 0.0001
[caf] feedback digest 50aa7d9c6cc1f7fc s=1
[caf] ep0: 5140 batches
  step 200/15420 loss 1.443 (5.4 it/s)
  step 400/15420 loss 3.332 (5.5 it/s)
  step 600/15420 loss 3.249 (5.5 it/s)
  step 800/15420 loss 3.315 (5.5 it/s)
  step 1000/15420 loss 3.408 (5.6 it/s)
  step 1200/15420 loss 3.223 (5.5 it/s)
  step 1400/15420 loss 3.278 (5.6 it/s)
  step 1600/15420 loss 3.256 (5.6 it/s)
  step 1800/15420 loss 3.243 (5.6 it/s)
  step 2000/15420 loss 3.234 (5.6 it/s)
  step 2200/15420 loss 3.341 (5.6 it/s)
  step 2400/15420 loss 3.306 (5.6 it/s)
  step 2600/15420 loss 3.271 (5.6 it/s)
  step 2800/15420 loss 3.314 (5.6 it/s)
  step 3000/15420 loss 3.218 (5.6 it/s)
  step 3200/15420 loss 3.258 (5.6 it/s)
  step 3400/15420 loss 3.301 (5.6 it/s)
  step 3600/15420 loss 3.316 (5.6 it/s)
  step 3800/15420 loss 3.297 (5.6 it/s)
  step 4000/15420 loss 3.286 (5.6 it/s)
  step 4200/15420 loss 3.406 (5.6 it/s)
  step 4400/15420 loss 3.272 (5.6 it/s)
  step 4600/15420 loss 3.267 (5.6 it/s)
  step 4800/15420 loss 3.290 (5.6 it/s)
  step 5000/15420 loss 3.225 (5.6 it/s)
[caf] ep1: 5140 batches
  step 5200/15420 loss 3.285 (5.6 it/s)
  step 5400/15420 loss 3.362 (5.6 it/s)
  step 5600/15420 loss 3.205 (5.6 it/s)
  step 5800/15420 loss 3.176 (5.6 it/s)
  step 6000/15420 loss 3.250 (5.6 it/s)
  step 6200/15420 loss 3.353 (5.6 it/s)
  step 6400/15420 loss 3.205 (5.6 it/s)
  step 6600/15420 loss 3.293 (5.6 it/s)
  step 6800/15420 loss 3.285 (5.6 it/s)
  step 7000/15420 loss 3.247 (5.6 it/s)
  step 7200/15420 loss 3.259 (5.6 it/s)
  step 7400/15420 loss 3.230 (5.5 it/s)
  step 7600/15420 loss 3.239 (5.5 it/s)
  step 7800/15420 loss 3.384 (5.5 it/s)
  step 8000/15420 loss 3.265 (5.5 it/s)
  step 8200/15420 loss 3.474 (5.5 it/s)
  step 8400/15420 loss 3.336 (5.5 it/s)
  step 8600/15420 loss 3.272 (5.5 it/s)
  step 8800/15420 loss 3.354 (5.5 it/s)
  step 9000/15420 loss 3.226 (5.5 it/s)
  step 9200/15420 loss 3.302 (5.5 it/s)
  step 9400/15420 loss 3.290 (5.5 it/s)
  step 9600/15420 loss 3.360 (5.5 it/s)
  step 9800/15420 loss 3.219 (5.5 it/s)
  step 10000/15420 loss 3.311 (5.5 it/s)
  step 10200/15420 loss 3.389 (5.5 it/s)
[caf] ep2: 5140 batches
  step 10400/15420 loss 3.208 (5.5 it/s)
  step 10600/15420 loss 3.362 (5.5 it/s)
  step 10800/15420 loss 3.442 (5.5 it/s)
  step 11000/15420 loss 3.313 (5.5 it/s)
  step 11200/15420 loss 3.199 (5.5 it/s)
  step 11400/15420 loss 3.280 (5.5 it/s)
  step 11600/15420 loss 3.256 (5.5 it/s)
  step 11800/15420 loss 3.434 (5.5 it/s)
  step 12000/15420 loss 3.228 (5.5 it/s)
  step 12200/15420 loss 3.241 (5.5 it/s)
  step 12400/15420 loss 3.216 (5.5 it/s)
  step 12600/15420 loss 3.393 (5.5 it/s)
  step 12800/15420 loss 3.209 (5.5 it/s)
  step 13000/15420 loss 3.257 (5.5 it/s)
  step 13200/15420 loss 3.224 (5.5 it/s)
  step 13400/15420 loss 3.198 (5.5 it/s)
  step 13600/15420 loss 3.315 (5.5 it/s)
  step 13800/15420 loss 3.467 (5.5 it/s)
  step 14000/15420 loss 3.260 (5.5 it/s)
  step 14200/15420 loss 3.235 (5.5 it/s)
  step 14400/15420 loss 3.297 (5.5 it/s)
  step 14600/15420 loss 3.202 (5.5 it/s)
  step 14800/15420 loss 3.307 (5.5 it/s)
  step 15000/15420 loss 3.315 (5.5 it/s)
  step 15200/15420 loss 3.314 (5.5 it/s)
  step 15400/15420 loss 3.172 (5.5 it/s)
[caf] saved checkpoints/writercaf1/qual_hybrid_k4_s23_S1_lr0.0001/final.pt after 15420 steps (2812s)
[caf] receipt appended to logs/writercaf1/qual.jsonl (final state_digest 107f15d088580b77)
