[curric] D2 excision: 165028 -> 164896 rows
[caf] mode=hybrid k_bp=2 seed=23 cell=qual_hybrid_k2_s23_S1_lr0.0001: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[caf] stream digests verified stock e0..e2
[caf] steps_total 15420 (5140/epoch) peak lr 0.0001
[caf] feedback digest 50aa7d9c6cc1f7fc s=1
[caf] ep0: 5140 batches
  step 200/15420 loss 1.918 (5.3 it/s)
  step 400/15420 loss 3.282 (5.2 it/s)
  step 600/15420 loss 3.211 (5.2 it/s)
  step 800/15420 loss 3.389 (5.3 it/s)
  step 1000/15420 loss 3.347 (5.4 it/s)
  step 1200/15420 loss 3.181 (5.4 it/s)
  step 1400/15420 loss 3.222 (5.4 it/s)
  step 1600/15420 loss 3.201 (5.4 it/s)
  step 1800/15420 loss 3.164 (5.4 it/s)
  step 2000/15420 loss 3.139 (5.4 it/s)
  step 2200/15420 loss 3.191 (5.4 it/s)
  step 2400/15420 loss 3.196 (5.4 it/s)
  step 2600/15420 loss 3.157 (5.4 it/s)
  step 2800/15420 loss 3.211 (5.4 it/s)
  step 3000/15420 loss 3.111 (5.4 it/s)
  step 3200/15420 loss 3.163 (5.4 it/s)
  step 3400/15420 loss 3.225 (5.4 it/s)
  step 3600/15420 loss 3.171 (5.4 it/s)
  step 3800/15420 loss 3.176 (5.4 it/s)
  step 4000/15420 loss 3.190 (5.4 it/s)
  step 4200/15420 loss 3.247 (5.4 it/s)
  step 4400/15420 loss 3.217 (5.4 it/s)
  step 4600/15420 loss 3.147 (5.4 it/s)
  step 4800/15420 loss 3.186 (5.4 it/s)
  step 5000/15420 loss 3.133 (5.4 it/s)
[caf] ep1: 5140 batches
  step 5200/15420 loss 3.162 (5.4 it/s)
  step 5400/15420 loss 3.224 (5.4 it/s)
  step 5600/15420 loss 3.143 (5.4 it/s)
  step 5800/15420 loss 3.132 (5.4 it/s)
  step 6000/15420 loss 3.145 (5.3 it/s)
  step 6200/15420 loss 3.133 (5.3 it/s)
  step 6400/15420 loss 3.153 (5.3 it/s)
  step 6600/15420 loss 3.241 (5.3 it/s)
  step 6800/15420 loss 3.159 (5.3 it/s)
  step 7000/15420 loss 3.160 (5.3 it/s)
  step 7200/15420 loss 3.123 (5.3 it/s)
  step 7400/15420 loss 3.149 (5.3 it/s)
  step 7600/15420 loss 3.181 (5.3 it/s)
  step 7800/15420 loss 3.146 (5.3 it/s)
  step 8000/15420 loss 3.130 (5.3 it/s)
  step 8200/15420 loss 3.245 (5.3 it/s)
  step 8400/15420 loss 3.187 (5.3 it/s)
  step 8600/15420 loss 3.128 (5.3 it/s)
  step 8800/15420 loss 3.227 (5.2 it/s)
  step 9000/15420 loss 3.112 (5.2 it/s)
  step 9200/15420 loss 3.130 (5.2 it/s)
  step 9400/15420 loss 3.162 (5.2 it/s)
  step 9600/15420 loss 3.134 (5.2 it/s)
  step 9800/15420 loss 3.081 (5.2 it/s)
  step 10000/15420 loss 3.123 (5.2 it/s)
  step 10200/15420 loss 3.165 (5.2 it/s)
[caf] ep2: 5140 batches
  step 10400/15420 loss 3.126 (5.2 it/s)
  step 10600/15420 loss 3.134 (5.2 it/s)
  step 10800/15420 loss 3.227 (5.2 it/s)
  step 11000/15420 loss 3.149 (5.2 it/s)
  step 11200/15420 loss 3.102 (5.2 it/s)
  step 11400/15420 loss 3.113 (5.2 it/s)
  step 11600/15420 loss 3.120 (5.2 it/s)
  step 11800/15420 loss 3.253 (5.2 it/s)
  step 12000/15420 loss 3.119 (5.2 it/s)
  step 12200/15420 loss 3.139 (5.2 it/s)
  step 12400/15420 loss 3.129 (5.1 it/s)
  step 12600/15420 loss 3.187 (5.1 it/s)
  step 12800/15420 loss 3.155 (5.1 it/s)
  step 13000/15420 loss 3.131 (5.1 it/s)
  step 13200/15420 loss 3.109 (5.1 it/s)
  step 13400/15420 loss 3.099 (5.1 it/s)
  step 13600/15420 loss 3.140 (5.1 it/s)
  step 13800/15420 loss 3.291 (5.1 it/s)
  step 14000/15420 loss 3.116 (5.1 it/s)
  step 14200/15420 loss 3.123 (5.1 it/s)
  step 14400/15420 loss 3.196 (5.1 it/s)
  step 14600/15420 loss 3.112 (5.0 it/s)
  step 14800/15420 loss 3.160 (5.0 it/s)
  step 15000/15420 loss 3.175 (5.0 it/s)
  step 15200/15420 loss 3.273 (5.0 it/s)
  step 15400/15420 loss 3.034 (5.0 it/s)
[caf] saved checkpoints/writercaf1/qual_hybrid_k2_s23_S1_lr0.0001/final.pt after 15420 steps (3068s)
[caf] receipt appended to logs/writercaf1/qual.jsonl (final state_digest 4a96c43d26a88786)
