[curric] D2 excision: 165028 -> 164896 rows
[caf] mode=hybrid k_bp=1 seed=23 cell=qual_hybrid_k1_s23_S1_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[caf] stream digests verified stock e0..e2
[caf] steps_total 15420 (5140/epoch) peak lr 0.0003
[caf] feedback digest 50aa7d9c6cc1f7fc s=1
[caf] ep0: 5140 batches
  step 200/15420 loss 3.147 (4.8 it/s)
  step 400/15420 loss 3.152 (4.8 it/s)
  step 600/15420 loss 3.073 (4.7 it/s)
  step 800/15420 loss 3.187 (4.8 it/s)
  step 1000/15420 loss 3.221 (4.8 it/s)
  step 1200/15420 loss 3.043 (4.9 it/s)
  step 1400/15420 loss 3.095 (5.0 it/s)
  step 1600/15420 loss 3.116 (5.0 it/s)
  step 1800/15420 loss 3.061 (5.0 it/s)
  step 2000/15420 loss 3.000 (5.1 it/s)
  step 2200/15420 loss 3.083 (5.0 it/s)
  step 2400/15420 loss 3.081 (5.0 it/s)
  step 2600/15420 loss 3.079 (5.0 it/s)
  step 2800/15420 loss 3.147 (4.9 it/s)
  step 3000/15420 loss 3.036 (4.9 it/s)
  step 3200/15420 loss 3.091 (4.9 it/s)
  step 3400/15420 loss 3.196 (4.9 it/s)
  step 3600/15420 loss 3.105 (4.9 it/s)
  step 3800/15420 loss 3.125 (4.9 it/s)
  step 4000/15420 loss 3.105 (4.9 it/s)
  step 4200/15420 loss 3.206 (4.9 it/s)
  step 4400/15420 loss 3.160 (4.9 it/s)
  step 4600/15420 loss 3.104 (4.9 it/s)
  step 4800/15420 loss 3.129 (4.9 it/s)
  step 5000/15420 loss 3.081 (4.9 it/s)
[caf] ep1: 5140 batches
  step 5200/15420 loss 3.134 (4.9 it/s)
  step 5400/15420 loss 3.196 (4.9 it/s)
  step 5600/15420 loss 3.089 (4.9 it/s)
  step 5800/15420 loss 3.087 (4.9 it/s)
  step 6000/15420 loss 3.114 (4.9 it/s)
  step 6200/15420 loss 3.088 (4.9 it/s)
  step 6400/15420 loss 3.106 (4.9 it/s)
  step 6600/15420 loss 3.189 (4.9 it/s)
  step 6800/15420 loss 3.142 (4.9 it/s)
  step 7000/15420 loss 3.140 (4.9 it/s)
  step 7200/15420 loss 3.108 (4.9 it/s)
  step 7400/15420 loss 3.130 (4.8 it/s)
  step 7600/15420 loss 3.163 (4.8 it/s)
  step 7800/15420 loss 3.177 (4.9 it/s)
  step 8000/15420 loss 3.101 (4.9 it/s)
  step 8200/15420 loss 3.293 (4.9 it/s)
  step 8400/15420 loss 3.176 (4.9 it/s)
  step 8600/15420 loss 3.119 (4.9 it/s)
  step 8800/15420 loss 3.240 (4.9 it/s)
  step 9000/15420 loss 3.086 (4.9 it/s)
  step 9200/15420 loss 3.112 (4.9 it/s)
  step 9400/15420 loss 3.168 (4.9 it/s)
  step 9600/15420 loss 3.139 (4.9 it/s)
  step 9800/15420 loss 3.073 (4.9 it/s)
  step 10000/15420 loss 3.122 (4.9 it/s)
  step 10200/15420 loss 3.197 (4.9 it/s)
[caf] ep2: 5140 batches
  step 10400/15420 loss 3.090 (4.9 it/s)
  step 10600/15420 loss 3.150 (4.9 it/s)
  step 10800/15420 loss 3.280 (4.9 it/s)
  step 11000/15420 loss 3.168 (4.9 it/s)
  step 11200/15420 loss 3.100 (4.9 it/s)
  step 11400/15420 loss 3.111 (4.9 it/s)
  step 11600/15420 loss 3.107 (4.9 it/s)
  step 11800/15420 loss 3.286 (4.9 it/s)
  step 12000/15420 loss 3.119 (4.9 it/s)
  step 12200/15420 loss 3.148 (4.9 it/s)
  step 12400/15420 loss 3.118 (4.9 it/s)
  step 12600/15420 loss 3.206 (4.9 it/s)
  step 12800/15420 loss 3.159 (4.9 it/s)
  step 13000/15420 loss 3.137 (4.9 it/s)
  step 13200/15420 loss 3.111 (4.9 it/s)
  step 13400/15420 loss 3.090 (4.9 it/s)
  step 13600/15420 loss 3.182 (4.9 it/s)
  step 13800/15420 loss 3.369 (4.9 it/s)
  step 14000/15420 loss 3.132 (4.9 it/s)
  step 14200/15420 loss 3.108 (4.9 it/s)
  step 14400/15420 loss 3.201 (4.9 it/s)
  step 14600/15420 loss 3.115 (4.9 it/s)
  step 14800/15420 loss 3.198 (4.9 it/s)
  step 15000/15420 loss 3.202 (4.9 it/s)
  step 15200/15420 loss 3.244 (4.9 it/s)
  step 15400/15420 loss 3.060 (4.9 it/s)
[caf] saved checkpoints/writercaf1/qual_hybrid_k1_s23_S1_lr0.0003/final.pt after 15420 steps (3175s)
[caf] receipt appended to logs/writercaf1/qual.jsonl (final state_digest 52ea261fc2d47016)
