[curric] D2 excision: 165028 -> 164896 rows
[caf] mode=hybrid k_bp=2 seed=23 cell=qual_hybrid_k2_s23_S1_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[caf] stream digests verified stock e0..e2
[caf] steps_total 15420 (5140/epoch) peak lr 0.0003
[caf] feedback digest 50aa7d9c6cc1f7fc s=1
[caf] ep0: 5140 batches
  step 200/15420 loss 2.988 (5.2 it/s)
  step 400/15420 loss 3.216 (5.3 it/s)
  step 600/15420 loss 3.161 (5.1 it/s)
  step 800/15420 loss 3.338 (5.1 it/s)
  step 1000/15420 loss 3.342 (5.2 it/s)
  step 1200/15420 loss 3.135 (5.1 it/s)
  step 1400/15420 loss 3.213 (5.2 it/s)
  step 1600/15420 loss 3.191 (5.2 it/s)
  step 1800/15420 loss 3.120 (5.2 it/s)
  step 2000/15420 loss 3.070 (5.2 it/s)
  step 2200/15420 loss 3.202 (5.3 it/s)
  step 2400/15420 loss 3.172 (5.2 it/s)
  step 2600/15420 loss 3.115 (5.2 it/s)
  step 2800/15420 loss 3.206 (5.2 it/s)
  step 3000/15420 loss 3.064 (5.2 it/s)
  step 3200/15420 loss 3.114 (5.2 it/s)
  step 3400/15420 loss 3.215 (5.2 it/s)
  step 3600/15420 loss 3.128 (5.2 it/s)
  step 3800/15420 loss 3.184 (5.2 it/s)
  step 4000/15420 loss 3.179 (5.2 it/s)
  step 4200/15420 loss 3.251 (5.2 it/s)
  step 4400/15420 loss 3.177 (5.2 it/s)
  step 4600/15420 loss 3.107 (5.2 it/s)
  step 4800/15420 loss 3.176 (5.2 it/s)
  step 5000/15420 loss 3.108 (5.2 it/s)
[caf] ep1: 5140 batches
  step 5200/15420 loss 3.143 (5.2 it/s)
  step 5400/15420 loss 3.208 (5.2 it/s)
  step 5600/15420 loss 3.123 (5.2 it/s)
  step 5800/15420 loss 3.124 (5.2 it/s)
  step 6000/15420 loss 3.127 (5.2 it/s)
  step 6200/15420 loss 3.121 (5.2 it/s)
  step 6400/15420 loss 3.148 (5.2 it/s)
  step 6600/15420 loss 3.228 (5.2 it/s)
  step 6800/15420 loss 3.159 (5.2 it/s)
  step 7000/15420 loss 3.165 (5.2 it/s)
  step 7200/15420 loss 3.125 (5.2 it/s)
  step 7400/15420 loss 3.155 (5.1 it/s)
  step 7600/15420 loss 3.203 (5.1 it/s)
  step 7800/15420 loss 3.183 (5.1 it/s)
  step 8000/15420 loss 3.159 (5.1 it/s)
  step 8200/15420 loss 3.267 (5.1 it/s)
  step 8400/15420 loss 3.206 (5.1 it/s)
  step 8600/15420 loss 3.142 (5.1 it/s)
  step 8800/15420 loss 3.300 (5.1 it/s)
  step 9000/15420 loss 3.102 (5.1 it/s)
  step 9200/15420 loss 3.138 (5.1 it/s)
  step 9400/15420 loss 3.209 (5.1 it/s)
  step 9600/15420 loss 3.160 (5.1 it/s)
  step 9800/15420 loss 3.085 (5.1 it/s)
  step 10000/15420 loss 3.139 (5.1 it/s)
  step 10200/15420 loss 3.206 (5.1 it/s)
[caf] ep2: 5140 batches
  step 10400/15420 loss 3.127 (5.1 it/s)
  step 10600/15420 loss 3.198 (5.1 it/s)
  step 10800/15420 loss 3.218 (5.1 it/s)
  step 11000/15420 loss 3.199 (5.1 it/s)
  step 11200/15420 loss 3.100 (5.1 it/s)
  step 11400/15420 loss 3.137 (5.1 it/s)
  step 11600/15420 loss 3.131 (5.1 it/s)
  step 11800/15420 loss 3.272 (5.1 it/s)
  step 12000/15420 loss 3.112 (5.1 it/s)
  step 12200/15420 loss 3.161 (5.1 it/s)
  step 12400/15420 loss 3.134 (5.0 it/s)
  step 12600/15420 loss 3.231 (5.0 it/s)
  step 12800/15420 loss 3.191 (5.0 it/s)
  step 13000/15420 loss 3.163 (5.0 it/s)
  step 13200/15420 loss 3.132 (5.0 it/s)
  step 13400/15420 loss 3.109 (5.0 it/s)
  step 13600/15420 loss 3.195 (5.0 it/s)
  step 13800/15420 loss 3.317 (5.0 it/s)
  step 14000/15420 loss 3.136 (5.0 it/s)
  step 14200/15420 loss 3.132 (5.0 it/s)
  step 14400/15420 loss 3.238 (5.0 it/s)
  step 14600/15420 loss 3.113 (5.0 it/s)
  step 14800/15420 loss 3.197 (5.0 it/s)
  step 15000/15420 loss 3.215 (5.0 it/s)
  step 15200/15420 loss 3.293 (5.0 it/s)
  step 15400/15420 loss 3.043 (5.0 it/s)
[caf] saved checkpoints/writercaf1/qual_hybrid_k2_s23_S1_lr0.0003/final.pt after 15420 steps (3085s)
[caf] receipt appended to logs/writercaf1/qual.jsonl (final state_digest 5eaa919dbf8a609f)
