[curric] D2 excision: 165028 -> 164896 rows
[caf] mode=hybrid k_bp=1 seed=23 cell=qual_hybrid_k1_s23_S1_lr0.0001: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[caf] stream digests verified stock e0..e2
[caf] steps_total 15420 (5140/epoch) peak lr 0.0001
[caf] feedback digest 50aa7d9c6cc1f7fc s=1
[caf] ep0: 5140 batches
  step 200/15420 loss 2.746 (5.2 it/s)
  step 400/15420 loss 3.306 (5.2 it/s)
  step 600/15420 loss 3.179 (5.1 it/s)
  step 800/15420 loss 3.198 (5.1 it/s)
  step 1000/15420 loss 3.274 (5.2 it/s)
  step 1200/15420 loss 3.138 (5.2 it/s)
  step 1400/15420 loss 3.217 (5.3 it/s)
  step 1600/15420 loss 3.209 (5.3 it/s)
  step 1800/15420 loss 3.168 (5.3 it/s)
  step 2000/15420 loss 3.135 (5.3 it/s)
  step 2200/15420 loss 3.222 (5.3 it/s)
  step 2400/15420 loss 3.208 (5.3 it/s)
  step 2600/15420 loss 3.184 (5.3 it/s)
  step 2800/15420 loss 3.209 (5.3 it/s)
  step 3000/15420 loss 3.133 (5.3 it/s)
  step 3200/15420 loss 3.183 (5.3 it/s)
  step 3400/15420 loss 3.260 (5.3 it/s)
  step 3600/15420 loss 3.174 (5.3 it/s)
  step 3800/15420 loss 3.189 (5.3 it/s)
  step 4000/15420 loss 3.195 (5.3 it/s)
  step 4200/15420 loss 3.244 (5.3 it/s)
  step 4400/15420 loss 3.246 (5.3 it/s)
  step 4600/15420 loss 3.158 (5.3 it/s)
  step 4800/15420 loss 3.219 (5.3 it/s)
  step 5000/15420 loss 3.162 (5.3 it/s)
[caf] ep1: 5140 batches
  step 5200/15420 loss 3.186 (5.3 it/s)
  step 5400/15420 loss 3.251 (5.3 it/s)
  step 5600/15420 loss 3.156 (5.3 it/s)
  step 5800/15420 loss 3.157 (5.3 it/s)
  step 6000/15420 loss 3.177 (5.2 it/s)
  step 6200/15420 loss 3.128 (5.2 it/s)
  step 6400/15420 loss 3.167 (5.2 it/s)
  step 6600/15420 loss 3.269 (5.2 it/s)
  step 6800/15420 loss 3.188 (5.2 it/s)
  step 7000/15420 loss 3.198 (5.2 it/s)
  step 7200/15420 loss 3.156 (5.1 it/s)
  step 7400/15420 loss 3.190 (5.1 it/s)
  step 7600/15420 loss 3.208 (5.1 it/s)
  step 7800/15420 loss 3.162 (5.1 it/s)
  step 8000/15420 loss 3.157 (5.1 it/s)
  step 8200/15420 loss 3.282 (5.1 it/s)
  step 8400/15420 loss 3.207 (5.1 it/s)
  step 8600/15420 loss 3.160 (5.1 it/s)
  step 8800/15420 loss 3.262 (5.1 it/s)
  step 9000/15420 loss 3.137 (5.0 it/s)
  step 9200/15420 loss 3.158 (5.0 it/s)
  step 9400/15420 loss 3.209 (5.0 it/s)
  step 9600/15420 loss 3.159 (5.0 it/s)
  step 9800/15420 loss 3.127 (5.0 it/s)
  step 10000/15420 loss 3.159 (5.0 it/s)
  step 10200/15420 loss 3.207 (5.0 it/s)
[caf] ep2: 5140 batches
  step 10400/15420 loss 3.145 (5.0 it/s)
  step 10600/15420 loss 3.155 (5.0 it/s)
  step 10800/15420 loss 3.278 (5.0 it/s)
  step 11000/15420 loss 3.175 (5.0 it/s)
  step 11200/15420 loss 3.135 (5.0 it/s)
  step 11400/15420 loss 3.135 (5.1 it/s)
  step 11600/15420 loss 3.147 (5.1 it/s)
  step 11800/15420 loss 3.265 (5.1 it/s)
  step 12000/15420 loss 3.156 (5.1 it/s)
  step 12200/15420 loss 3.180 (5.1 it/s)
  step 12400/15420 loss 3.169 (5.0 it/s)
  step 12600/15420 loss 3.218 (5.1 it/s)
  step 12800/15420 loss 3.205 (5.1 it/s)
  step 13000/15420 loss 3.154 (5.0 it/s)
  step 13200/15420 loss 3.146 (5.0 it/s)
  step 13400/15420 loss 3.129 (5.0 it/s)
  step 13600/15420 loss 3.167 (5.0 it/s)
  step 13800/15420 loss 3.320 (5.1 it/s)
  step 14000/15420 loss 3.152 (5.1 it/s)
  step 14200/15420 loss 3.147 (5.1 it/s)
  step 14400/15420 loss 3.224 (5.1 it/s)
  step 14600/15420 loss 3.150 (5.1 it/s)
  step 14800/15420 loss 3.195 (5.1 it/s)
  step 15000/15420 loss 3.213 (5.1 it/s)
  step 15200/15420 loss 3.291 (5.0 it/s)
  step 15400/15420 loss 3.106 (5.1 it/s)
[caf] saved checkpoints/writercaf1/qual_hybrid_k1_s23_S1_lr0.0001/final.pt after 15420 steps (3054s)
[caf] receipt appended to logs/writercaf1/qual.jsonl (final state_digest 95a9a3abc05e4000)
