[curric] D2 excision: 165028 -> 164896 rows
[fb] mode=bp k_bp=8 seed=26 cell=fb_full_s26_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[fb] stream digests verified stock e0..e2
[fb] steps_total 15420 (5140/epoch) peak lr 0.0003
[fb] ep0: 5140 batches
  step 200/15420 loss 1.035 (5.4 it/s)
  step 400/15420 loss 0.800 (5.5 it/s)
  step 600/15420 loss 0.693 (5.4 it/s)
  step 800/15420 loss 1.004 (5.5 it/s)
  step 1000/15420 loss 0.288 (5.5 it/s)
  step 1200/15420 loss 0.524 (5.5 it/s)
  step 1400/15420 loss 0.451 (5.5 it/s)
  step 1600/15420 loss 0.472 (5.5 it/s)
  step 1800/15420 loss 0.807 (5.5 it/s)
  step 2000/15420 loss 0.801 (5.6 it/s)
  step 2200/15420 loss 0.370 (5.6 it/s)
  step 2400/15420 loss 0.437 (5.6 it/s)
  step 2600/15420 loss 0.634 (5.6 it/s)
  step 2800/15420 loss 0.213 (5.6 it/s)
  step 3000/15420 loss 0.584 (5.5 it/s)
  step 3200/15420 loss 0.600 (5.5 it/s)
  step 3400/15420 loss 0.560 (5.5 it/s)
  step 3600/15420 loss 0.382 (5.5 it/s)
  step 3800/15420 loss 0.412 (5.6 it/s)
  step 4000/15420 loss 0.469 (5.5 it/s)
  step 4200/15420 loss 0.255 (5.5 it/s)
  step 4400/15420 loss 0.511 (5.6 it/s)
  step 4600/15420 loss 0.293 (5.6 it/s)
  step 4800/15420 loss 0.569 (5.5 it/s)
  step 5000/15420 loss 0.439 (5.6 it/s)
[fb] ep1: 5140 batches
  step 5200/15420 loss 0.372 (5.5 it/s)
  step 5400/15420 loss 0.380 (5.6 it/s)
  step 5600/15420 loss 0.386 (5.5 it/s)
  step 5800/15420 loss 0.282 (5.5 it/s)
  step 6000/15420 loss 0.367 (5.5 it/s)
  step 6200/15420 loss 0.316 (5.5 it/s)
  step 6400/15420 loss 0.364 (5.5 it/s)
  step 6600/15420 loss 0.740 (5.5 it/s)
  step 6800/15420 loss 0.376 (5.5 it/s)
  step 7000/15420 loss 0.675 (5.5 it/s)
  step 7200/15420 loss 0.347 (5.5 it/s)
  step 7400/15420 loss 0.597 (5.5 it/s)
  step 7600/15420 loss 0.393 (5.5 it/s)
  step 7800/15420 loss 0.326 (5.5 it/s)
  step 8000/15420 loss 0.340 (5.5 it/s)
  step 8200/15420 loss 0.422 (5.5 it/s)
  step 8400/15420 loss 0.440 (5.5 it/s)
  step 8600/15420 loss 0.370 (5.5 it/s)
  step 8800/15420 loss 0.341 (5.5 it/s)
  step 9000/15420 loss 0.257 (5.5 it/s)
  step 9200/15420 loss 0.338 (5.5 it/s)
  step 9400/15420 loss 0.615 (5.5 it/s)
  step 9600/15420 loss 0.348 (5.5 it/s)
  step 9800/15420 loss 0.278 (5.5 it/s)
  step 10000/15420 loss 0.390 (5.5 it/s)
  step 10200/15420 loss 0.397 (5.5 it/s)
[fb] ep2: 5140 batches
  step 10400/15420 loss 0.274 (5.5 it/s)
  step 10600/15420 loss 0.352 (5.5 it/s)
  step 10800/15420 loss 0.439 (5.5 it/s)
  step 11000/15420 loss 0.367 (5.5 it/s)
  step 11200/15420 loss 0.280 (5.5 it/s)
  step 11400/15420 loss 0.338 (5.5 it/s)
  step 11600/15420 loss 0.343 (5.5 it/s)
  step 11800/15420 loss 0.408 (5.5 it/s)
  step 12000/15420 loss 0.364 (5.5 it/s)
  step 12200/15420 loss 0.365 (5.5 it/s)
  step 12400/15420 loss 0.553 (5.5 it/s)
  step 12600/15420 loss 0.223 (5.5 it/s)
  step 12800/15420 loss 0.282 (5.5 it/s)
  step 13000/15420 loss 0.351 (5.5 it/s)
  step 13200/15420 loss 0.348 (5.5 it/s)
  step 13400/15420 loss 0.311 (5.5 it/s)
  step 13600/15420 loss 0.376 (5.5 it/s)
  step 13800/15420 loss 0.756 (5.5 it/s)
  step 14000/15420 loss 0.375 (5.5 it/s)
  step 14200/15420 loss 0.330 (5.5 it/s)
  step 14400/15420 loss 0.242 (5.5 it/s)
  step 14600/15420 loss 0.350 (5.5 it/s)
  step 14800/15420 loss 0.428 (5.5 it/s)
  step 15000/15420 loss 0.337 (5.5 it/s)
  step 15200/15420 loss 0.704 (5.5 it/s)
  step 15400/15420 loss 0.486 (5.5 it/s)
[fb] saved checkpoints/frozenbb1/fb_full_s26_lr0.0003/final.pt after 15420 steps (2805s)
[fb] receipt appended to logs/frozenbb1/births.jsonl (final state_digest fe845465aa84d9f6)
