[curric] D2 excision: 165028 -> 164896 rows
[fb] mode=bp k_bp=8 seed=25 cell=fb_full_s25_lr0.0003: stock 164490 seq
[curric] D2 excision: 165028 -> 164896 rows
164896 rows; charset 42; uncovered chars: [':', 'C', 'H', 'I', 'S', '_', 'a', 'b', 'c', 'e']
skipped 388 out-of-language rows (strict encode; historically silently mangled)
164490 sequences, vocab 40
model: 18.9M params on mps [fast: bf16 + token-budget]
[curric] NO-OP PASS: 100 tuples + epoch length 5140 match the trainer path
[fb] stream digests verified stock e0..e2
[fb] steps_total 15420 (5140/epoch) peak lr 0.0003
[fb] ep0: 5140 batches
  step 200/15420 loss 1.015 (5.4 it/s)
  step 400/15420 loss 0.774 (5.5 it/s)
  step 600/15420 loss 0.688 (5.4 it/s)
  step 800/15420 loss 0.878 (5.5 it/s)
  step 1000/15420 loss 0.319 (5.5 it/s)
  step 1200/15420 loss 0.544 (5.5 it/s)
  step 1400/15420 loss 0.443 (5.5 it/s)
  step 1600/15420 loss 0.464 (5.5 it/s)
  step 1800/15420 loss 0.807 (5.5 it/s)
  step 2000/15420 loss 0.733 (5.6 it/s)
  step 2200/15420 loss 0.379 (5.6 it/s)
  step 2400/15420 loss 0.425 (5.6 it/s)
  step 2600/15420 loss 0.636 (5.6 it/s)
  step 2800/15420 loss 0.220 (5.6 it/s)
  step 3000/15420 loss 0.561 (5.5 it/s)
  step 3200/15420 loss 0.611 (5.5 it/s)
  step 3400/15420 loss 0.589 (5.5 it/s)
  step 3600/15420 loss 0.376 (5.5 it/s)
  step 3800/15420 loss 0.410 (5.5 it/s)
  step 4000/15420 loss 0.466 (5.5 it/s)
  step 4200/15420 loss 0.259 (5.5 it/s)
  step 4400/15420 loss 0.556 (5.5 it/s)
  step 4600/15420 loss 0.290 (5.5 it/s)
  step 4800/15420 loss 0.577 (5.5 it/s)
  step 5000/15420 loss 0.430 (5.5 it/s)
[fb] ep1: 5140 batches
  step 5200/15420 loss 0.376 (5.5 it/s)
  step 5400/15420 loss 0.374 (5.5 it/s)
  step 5600/15420 loss 0.368 (5.5 it/s)
  step 5800/15420 loss 0.294 (5.5 it/s)
  step 6000/15420 loss 0.372 (5.5 it/s)
  step 6200/15420 loss 0.315 (5.5 it/s)
  step 6400/15420 loss 0.353 (5.5 it/s)
  step 6600/15420 loss 0.720 (5.5 it/s)
  step 6800/15420 loss 0.379 (5.5 it/s)
  step 7000/15420 loss 0.659 (5.5 it/s)
  step 7200/15420 loss 0.346 (5.5 it/s)
  step 7400/15420 loss 0.588 (5.5 it/s)
  step 7600/15420 loss 0.387 (5.5 it/s)
  step 7800/15420 loss 0.333 (5.5 it/s)
  step 8000/15420 loss 0.338 (5.5 it/s)
  step 8200/15420 loss 0.427 (5.5 it/s)
  step 8400/15420 loss 0.441 (5.5 it/s)
  step 8600/15420 loss 0.366 (5.5 it/s)
  step 8800/15420 loss 0.343 (5.5 it/s)
  step 9000/15420 loss 0.261 (5.5 it/s)
  step 9200/15420 loss 0.337 (5.5 it/s)
  step 9400/15420 loss 0.629 (5.5 it/s)
  step 9600/15420 loss 0.345 (5.5 it/s)
  step 9800/15420 loss 0.276 (5.5 it/s)
  step 10000/15420 loss 0.391 (5.5 it/s)
  step 10200/15420 loss 0.394 (5.5 it/s)
[fb] ep2: 5140 batches
  step 10400/15420 loss 0.272 (5.5 it/s)
  step 10600/15420 loss 0.353 (5.5 it/s)
  step 10800/15420 loss 0.438 (5.5 it/s)
  step 11000/15420 loss 0.363 (5.5 it/s)
  step 11200/15420 loss 0.272 (5.5 it/s)
  step 11400/15420 loss 0.343 (5.5 it/s)
  step 11600/15420 loss 0.342 (5.5 it/s)
  step 11800/15420 loss 0.414 (5.5 it/s)
  step 12000/15420 loss 0.362 (5.5 it/s)
  step 12200/15420 loss 0.366 (5.5 it/s)
  step 12400/15420 loss 0.553 (5.5 it/s)
  step 12600/15420 loss 0.223 (5.5 it/s)
  step 12800/15420 loss 0.284 (5.5 it/s)
  step 13000/15420 loss 0.355 (5.5 it/s)
  step 13200/15420 loss 0.352 (5.5 it/s)
  step 13400/15420 loss 0.309 (5.5 it/s)
  step 13600/15420 loss 0.379 (5.5 it/s)
  step 13800/15420 loss 0.761 (5.5 it/s)
  step 14000/15420 loss 0.375 (5.5 it/s)
  step 14200/15420 loss 0.327 (5.5 it/s)
  step 14400/15420 loss 0.241 (5.5 it/s)
  step 14600/15420 loss 0.346 (5.5 it/s)
  step 14800/15420 loss 0.426 (5.5 it/s)
  step 15000/15420 loss 0.336 (5.5 it/s)
  step 15200/15420 loss 0.696 (5.5 it/s)
  step 15400/15420 loss 0.489 (5.5 it/s)
[fb] saved checkpoints/frozenbb1/fb_full_s25_lr0.0003/final.pt after 15420 steps (2810s)
[fb] receipt appended to logs/frozenbb1/births.jsonl (final state_digest 677026a5d2876f42)
